reputation,up_votes,down_votes,num_badges,contributing_score,EFF_CLASS_NUM
39,4,0,7,0.6,-1
70,2,0,11,0.76,1
136,15,0,7,0.24,-1
71,27,0,10,0.13,1
20,1,0,11,-0.1,1
249,145,0,13,0.5,1
381,12,0,15,1.59,0
50,6,0,9,0.32,1
2392,170,9,37,8.81,1
2522,563,1,41,4.04,1
267,0,0,8,6.0,1
1091,653,7,32,1.07,-1
155,394,0,10,0.73,1
98,15,0,19,0.32,1
60,13,0,5,0.33,1
866,157,29,27,1.68,-1
130,57,1,21,0.25,1
20,13,0,5,-0.06,1
767,66,4,41,0.61,1
734,50,7,18,2.39,-1
586,579,17,44,1.51,1
19,0,0,5,-0.21,1
238,16,0,10,2.88,1
9,0,0,2,-0.4,-1
386,49,0,10,0.22,1
64,18,0,12,0.0,1
25,14,0,6,0.08,1
1069,345,36,30,0.74,1
2087,1,0,42,24.19,-1
105,51,0,5,1.11,1
165,5,0,17,0.41,1
262,22,1,10,0.81,-1
113,0,0,6,5.5,1
249,4,0,13,2.59,1
789,60,0,22,2.18,1
38,2,0,5,0.19,1
29,0,0,7,0.29,1
934,104,9,19,16.56,1
621,29,3,12,0.38,-1
1036,13,0,12,11.64,-1
311,21,0,11,0.66,-1
601,180,13,20,0.68,1
1245,33,0,26,4.24,-1
109,33,0,12,0.55,1
5745,335,34,247,2.31,-1
126,16,0,9,0.42,1
967,41,12,30,0.45,1
379,50,1,40,0.36,1
258,24,0,12,4.56,-1
342,392,74,19,0.18,-1
524,77,5,28,2.42,1
1458,89,8,83,0.87,0
330,1,0,22,1.59,-1
55,20,0,11,0.31,1
290,19,13,14,0.52,0
122,28,0,15,0.19,1
46,0,0,4,1.5,-1
10,0,0,8,0.06,1
240,9,0,11,2.33,1
52,91,0,9,0.22,-1
17,19,0,7,0.03,1
4,0,0,4,-0.21,1
217,9,1,8,1.46,1
791,3,1,11,1.52,-1
2608,353,4,53,1.76,-1
5269,2277,666,72,0.4,-1
23,0,0,5,0.27,1
319,12,7,11,0.3,1
4073,144,4,44,5.95,1
133,21,0,10,0.42,1
428,31,1,19,1.48,1
36,0,0,9,0.33,1
153,24,0,16,0.47,1
1335,15,0,25,3.76,-1
15,2,0,6,0.08,1
716,78,6,24,1.0,-1
375,22,2,18,0.35,1
970,219,26,37,1.12,1
69,9,0,9,0.5,1
89,11,0,10,0.53,1
14,0,0,6,0.04,-1
163,19,0,16,0.16,1
56,6,0,21,0.17,-1
51163,3570,8525,309,2.75,1
1347,13,0,12,11.11,-1
576,0,0,8,26.5,-1
2914,0,2,29,1.38,1
240,43,0,14,2.81,0
254,4,0,11,4.08,1
542,9,0,12,9.33,-1
9,0,0,2,-1.33,-1
175,4,0,9,0.76,-1
183,86,0,11,0.53,1
184,54,1,9,0.95,1
181,3,6,10,0.32,1
645,58,0,43,0.82,1
235,5,0,20,1.88,1
46,0,0,4,1.25,-1
20,22,0,8,0.18,1
175,34,0,14,1.09,-1
19,0,0,3,0.43,-1
192,13,0,14,0.25,1
412,424,1,16,0.7,1
196,46,3,19,0.12,1
319,36,0,12,0.4,-1
68,10,0,12,0.43,1
36,0,0,5,0.44,-1
101,5,0,2,0.5,-1
560,23,3,22,0.74,1
9,0,0,6,0.07,-1
80,56,0,9,0.42,-1
305,34,0,19,1.09,1
714,207,6,23,0.47,1
49,9,0,10,0.09,1
1669,661,12,41,2.58,-1
90,77,0,13,1.21,1
63,19,0,14,0.14,1
116,6,0,9,0.21,1
40,1,0,9,0.44,1
416,15,0,29,0.14,1
341,0,0,17,3.0,-1
62,10,0,9,0.46,1
117,35,0,7,0.36,1
967,29,1,18,5.33,1
48,1,0,10,0.27,1
586,68,0,13,4.45,-1
993,9,0,22,1.68,1
46,1,0,3,0.8,-1
166,0,0,3,7.5,-1
946,342,1,60,1.22,1
55,23,0,10,0.04,1
74,10,0,6,0.63,-1
37,4,0,9,0.11,1
